index,timestamp,left_path,right_path
0,{'ts': 1765290102.0208998},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0000_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0000_right.png
1,{'ts': 1765290108.4546614},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0001_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0001_right.png
2,{'ts': 1765290118.3536673},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0002_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0002_right.png
3,{'ts': 1765290125.2412195},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0003_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0003_right.png
4,{'ts': 1765290136.0592477},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0004_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0004_right.png
5,{'ts': 1765290139.7924454},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0005_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0005_right.png
6,{'ts': 1765290143.4022722},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0006_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0006_right.png
7,{'ts': 1765290147.1667364},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0007_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0007_right.png
8,{'ts': 1765290150.6135302},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0008_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0008_right.png
9,{'ts': 1765290158.3780673},C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\left\pair_0009_left.png,C:\Users\Mandelstam\Documents\Connor\repos\brillouin_system\src\brillouin_system\guis\human_interface\calibrate_dual_allied_vision_cameras\checkerboards1\right\pair_0009_right.png
